"age_c" "gender_c" "occupation_c" "population"
"523" "18 to 22" "Female" "Brood- en beschuitbakkers" 1
"524" "25 to 35" "Female" "Brood- en beschuitbakkers" 5
"525" "36 to 50" "Female" "Brood- en beschuitbakkers" 8
"526" "51 to 60" "Female" "Brood- en beschuitbakkers" 10
"527" "61 to 65" "Female" "Brood- en beschuitbakkers" 4
"528" "66 to 70" "Female" "Brood- en beschuitbakkers" 1
"529" "Older than 70" "Female" "Brood- en beschuitbakkers" 3
"530" "18 to 22" "Male" "Broodventers" 1
"531" "23 to 24" "Male" "Broodventers" 1
"532" "25 to 35" "Male" "Broodventers" 1
"533" "36 to 50" "Male" "Broodventers" 1
"534" "51 to 60" "Male" "Broodventers" 3
"535" "61 to 65" "Male" "Broodventers" 1
"536" "18 to 22" "Female" "Broodventers" 1
"537" "25 to 35" "Female" "Broodventers" 2
"538" "36 to 50" "Female" "Broodventers" 1
"539" "18 to 22" "Male" "Buffetchefs en juffrouwen" 4
"540" "23 to 24" "Male" "Buffetchefs en juffrouwen" 3
"541" "25 to 35" "Male" "Buffetchefs en juffrouwen" 4
"542" "36 to 50" "Male" "Buffetchefs en juffrouwen" 4
"543" "14 to 15" "Female" "Buffetchefs en juffrouwen" 4
"544" "16 to 17" "Female" "Buffetchefs en juffrouwen" 11
"545" "18 to 22" "Female" "Buffetchefs en juffrouwen" 45
"546" "Younger than 12" "Female" "Buffetchefs en juffrouwen" 1
"547" "23 to 24" "Female" "Buffetchefs en juffrouwen" 29
"548" "25 to 35" "Female" "Buffetchefs en juffrouwen" 83
"549" "36 to 50" "Female" "Buffetchefs en juffrouwen" 19
"550" "51 to 60" "Female" "Buffetchefs en juffrouwen" 5
"551" "66 to 70" "Female" "Buffetchefs en juffrouwen" 1
"552" "36 to 50" "Male" "Cachetsnijders" 1
"553" "66 to 70" "Male" "Cachetsnijders" 1
"554" "25 to 35" "Male" "Cargadoors" 16
"555" "36 to 50" "Male" "Cargadoors" 31
"556" "51 to 60" "Male" "Cargadoors" 17
"557" "61 to 65" "Male" "Cargadoors" 4
"558" "66 to 70" "Male" "Cargadoors" 4
"559" "Older than 70" "Male" "Cargadoors" 1
"560" "51 to 60" "Female" "Cargadoors" 1
"561" "18 to 22" "Male" "Chemisten" 3
"562" "23 to 24" "Male" "Chemisten" 4
"563" "25 to 35" "Male" "Chemisten" 9
"564" "36 to 50" "Male" "Chemisten" 7
"565" "51 to 60" "Male" "Chemisten" 2
"566" "61 to 65" "Male" "Chemisten" 1
"567" "14 to 15" "Male" "Colporteur" 1
"568" "18 to 22" "Male" "Colporteur" 5
"569" "23 to 24" "Male" "Colporteur" 3
"570" "25 to 35" "Male" "Colporteur" 26
"571" "36 to 50" "Male" "Colporteur" 53
"572" "51 to 60" "Male" "Colporteur" 23
"573" "61 to 65" "Male" "Colporteur" 9
"574" "66 to 70" "Male" "Colporteur" 4
"575" "25 to 35" "Male" "Commensalenhouders" 1
"576" "36 to 50" "Male" "Commensalenhouders" 2
"577" "51 to 60" "Male" "Commensalenhouders" 3
"578" "61 to 65" "Male" "Commensalenhouders" 2
"579" "Older than 70" "Male" "Commensalenhouders" 1
"580" "25 to 35" "Female" "Commensalenhouders" 17
"581" "36 to 50" "Female" "Commensalenhouders" 37
"582" "51 to 60" "Female" "Commensalenhouders" 29
"583" "61 to 65" "Female" "Commensalenhouders" 11
"584" "66 to 70" "Female" "Commensalenhouders" 2
"585" "Older than 70" "Female" "Commensalenhouders" 6
"586" "25 to 35" "Male" "Commissarissen bij de graanwerkers" 1
"587" "36 to 50" "Male" "Commissarissen bij de graanwerkers" 1
"588" "25 to 35" "Male" "Commissarissen van beurtveeren" 2
"589" "36 to 50" "Male" "Commissarissen van beurtveeren" 5
"590" "51 to 60" "Male" "Commissarissen van beurtveeren" 3
"591" "61 to 65" "Male" "Commissarissen van beurtveeren" 2
"592" "66 to 70" "Male" "Commissarissen van beurtveeren" 3
"593" "Older than 70" "Male" "Commissarissen van beurtveeren" 3
"594" "36 to 50" "Female" "Commissarissen van beurtveeren" 1
"595" "36 to 50" "Male" "Commissarissen van diligences" 1
"596" "25 to 35" "Male" "Commissarissen van stoombooten" 4
"597" "36 to 50" "Male" "Commissarissen van stoombooten" 5
"598" "51 to 60" "Male" "Commissarissen van stoombooten" 2
"599" "66 to 70" "Male" "Commissarissen van stoombooten" 1
"600" "Older than 70" "Male" "Commissarissen van stoombooten" 1
"601" "16 to 17" "Male" "Commissionnairs" 1
"602" "18 to 22" "Male" "Commissionnairs" 3
"603" "23 to 24" "Male" "Commissionnairs" 2
"604" "25 to 35" "Male" "Commissionnairs" 59
"605" "36 to 50" "Male" "Commissionnairs" 99
"606" "51 to 60" "Male" "Commissionnairs" 36
"607" "61 to 65" "Male" "Commissionnairs" 18
"608" "66 to 70" "Male" "Commissionnairs" 12
"609" "Older than 70" "Male" "Commissionnairs" 4
"610" "23 to 24" "Female" "Commissionnairs" 1
"611" "36 to 50" "Female" "Commissionnairs" 1
"612" "18 to 22" "Male" "Commissionnairs in effecten" 8
"613" "23 to 24" "Male" "Commissionnairs in effecten" 15
"614" "25 to 35" "Male" "Commissionnairs in effecten" 187
"615" "36 to 50" "Male" "Commissionnairs in effecten" 260
"616" "51 to 60" "Male" "Commissionnairs in effecten" 96
"617" "61 to 65" "Male" "Commissionnairs in effecten" 40
"618" "66 to 70" "Male" "Commissionnairs in effecten" 24
"619" "Older than 70" "Male" "Commissionnairs in effecten" 7
"620" "36 to 50" "Female" "Commissionnairs in effecten" 1
"621" "51 to 60" "Female" "Commissionnairs in effecten" 2
"622" "12" "Male" "Confiseurs" 2
"623" "13" "Male" "Confiseurs" 8
"624" "14 to 15" "Male" "Confiseurs" 33
"625" "16 to 17" "Male" "Confiseurs" 60
"626" "18 to 22" "Male" "Confiseurs" 109
"627" "23 to 24" "Male" "Confiseurs" 43
"628" "25 to 35" "Male" "Confiseurs" 162
"629" "36 to 50" "Male" "Confiseurs" 176
"630" "51 to 60" "Male" "Confiseurs" 48
"631" "61 to 65" "Male" "Confiseurs" 23
"632" "66 to 70" "Male" "Confiseurs" 14
"633" "Older than 70" "Male" "Confiseurs" 8
"634" "36 to 50" "Male" "Controleurs" 1
"635" "36 to 50" "Male" "Convooiloopers" 4
"636" "51 to 60" "Male" "Convooiloopers" 1
"637" "66 to 70" "Male" "Convooiloopers" 1
"638" "Older than 70" "Male" "Convooiloopers" 1
"639" "25 to 35" "Male" "Costumiers (makers van costumen)" 2
"640" "36 to 50" "Male" "Costumiers (makers van costumen)" 2
"641" "61 to 65" "Male" "Costumiers (makers van costumen)" 1
"642" "18 to 22" "Female" "Costumiers (makers van costumen)" 14
"643" "23 to 24" "Female" "Costumiers (makers van costumen)" 5
"644" "25 to 35" "Female" "Costumiers (makers van costumen)" 14
"645" "36 to 50" "Female" "Costumiers (makers van costumen)" 7
"646" "51 to 60" "Female" "Costumiers (makers van costumen)" 3
"647" "25 to 35" "Male" "Costumiers (verhuurders van costumen)" 2
"648" "36 to 50" "Male" "Costumiers (verhuurders van costumen)" 3
"649" "61 to 65" "Male" "Costumiers (verhuurders van costumen)" 1
"650" "66 to 70" "Female" "Costumiers (verhuurders van costumen)" 1
"651" "18 to 22" "Male" "Coupeurs en coupeuses" 3
"652" "23 to 24" "Male" "Coupeurs en coupeuses" 5
"653" "25 to 35" "Male" "Coupeurs en coupeuses" 16
"654" "36 to 50" "Male" "Coupeurs en coupeuses" 18
"655" "51 to 60" "Male" "Coupeurs en coupeuses" 6
"656" "61 to 65" "Male" "Coupeurs en coupeuses" 3
"657" "66 to 70" "Male" "Coupeurs en coupeuses" 1
"658" "13" "Female" "Coupeurs en coupeuses" 1
"659" "16 to 17" "Female" "Coupeurs en coupeuses" 1
"660" "18 to 22" "Female" "Coupeurs en coupeuses" 3
"661" "23 to 24" "Female" "Coupeurs en coupeuses" 4
"662" "25 to 35" "Female" "Coupeurs en coupeuses" 5
"663" "36 to 50" "Female" "Coupeurs en coupeuses" 4
"664" "Older than 70" "Female" "Coupeurs en coupeuses" 1
"665" "25 to 35" "Male" "Courantenverhuurders" 3
"666" "36 to 50" "Male" "Courantenverhuurders" 6
"667" "51 to 60" "Male" "Courantenverhuurders" 2
"668" "61 to 65" "Male" "Courantenverhuurders" 6
"669" "66 to 70" "Male" "Courantenverhuurders" 1
"670" "Older than 70" "Male" "Courantenverhuurders" 2
"671" "25 to 35" "Female" "Courantenverhuurders" 2
"672" "36 to 50" "Female" "Courantenverhuurders" 1
"673" "61 to 65" "Female" "Courantenverhuurders" 1
"674" "Older than 70" "Female" "Courantenverhuurders" 2
"675" "18 to 22" "Male" "Couriers en gidsen" 1
"676" "25 to 35" "Male" "Couriers en gidsen" 3
"677" "36 to 50" "Male" "Couriers en gidsen" 11
"678" "51 to 60" "Male" "Couriers en gidsen" 4
"679" "66 to 70" "Male" "Couriers en gidsen" 2
"680" "16 to 17" "Male" "Dameskleedermakers" 1
"681" "18 to 22" "Male" "Dameskleedermakers" 2
"682" "23 to 24" "Male" "Dameskleedermakers" 2
"683" "25 to 35" "Male" "Dameskleedermakers" 7
"684" "36 to 50" "Male" "Dameskleedermakers" 6
"685" "51 to 60" "Male" "Dameskleedermakers" 3
"686" "61 to 65" "Male" "Dameskleedermakers" 1
"687" "13" "Female" "Dameskleedermakers" 1
"688" "14 to 15" "Female" "Dameskleedermakers" 10
"689" "16 to 17" "Female" "Dameskleedermakers" 15
"690" "18 to 22" "Female" "Dameskleedermakers" 50
"691" "23 to 24" "Female" "Dameskleedermakers" 26
"692" "25 to 35" "Female" "Dameskleedermakers" 123
"693" "36 to 50" "Female" "Dameskleedermakers" 88
"694" "51 to 60" "Female" "Dameskleedermakers" 19
"695" "61 to 65" "Female" "Dameskleedermakers" 4
"696" "Older than 70" "Female" "Dameskleedermakers" 2
"697" "25 to 35" "Male" "Debiteurs Staatsloterij" 4
"698" "36 to 50" "Male" "Debiteurs Staatsloterij" 3
"699" "51 to 60" "Male" "Debiteurs Staatsloterij" 5
"700" "61 to 65" "Male" "Debiteurs Staatsloterij" 9
"701" "66 to 70" "Male" "Debiteurs Staatsloterij" 7
"702" "Older than 70" "Male" "Debiteurs Staatsloterij" 4
"703" "61 to 65" "Female" "Debiteurs Staatsloterij" 1
"704" "14 to 15" "Male" "Decoratieschilders" 6
"705" "16 to 17" "Male" "Decoratieschilders" 8
"706" "18 to 22" "Male" "Decoratieschilders" 23
"707" "23 to 24" "Male" "Decoratieschilders" 15
"708" "25 to 35" "Male" "Decoratieschilders" 40
"709" "36 to 50" "Male" "Decoratieschilders" 24
"710" "51 to 60" "Male" "Decoratieschilders" 12
"711" "61 to 65" "Male" "Decoratieschilders" 2
"712" "66 to 70" "Male" "Decoratieschilders" 1
"713" "Older than 70" "Male" "Decoratieschilders" 2
"714" "16 to 17" "Female" "Decoratieschilders" 1
"715" "36 to 50" "Male" "Dekenwasschers" 2
"716" "14 to 15" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 1
"717" "16 to 17" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 1
"718" "18 to 22" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 4
"719" "25 to 35" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 12
"720" "36 to 50" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 5
"721" "51 to 60" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 1
"722" "66 to 70" "Male" "Dekkers (lei-, pannen, stroo- en riet-)" 1
"723" "16 to 17" "Male" "Depothouders" 3
"724" "18 to 22" "Male" "Depothouders" 19
"725" "23 to 24" "Male" "Depothouders" 21
"726" "25 to 35" "Male" "Depothouders" 129
"727" "36 to 50" "Male" "Depothouders" 153
"728" "51 to 60" "Male" "Depothouders" 63
"729" "61 to 65" "Male" "Depothouders" 20
"730" "66 to 70" "Male" "Depothouders" 32
"731" "Older than 70" "Male" "Depothouders" 14
"732" "14 to 15" "Female" "Depothouders" 1
"733" "18 to 22" "Female" "Depothouders" 4
"734" "23 to 24" "Female" "Depothouders" 10
"735" "25 to 35" "Female" "Depothouders" 69
"736" "36 to 50" "Female" "Depothouders" 114
"737" "51 to 60" "Female" "Depothouders" 64
"738" "61 to 65" "Female" "Depothouders" 15
"739" "66 to 70" "Female" "Depothouders" 15
"740" "Older than 70" "Female" "Depothouders" 8
"741" "25 to 35" "Male" "Depothourders" 1
"742" "36 to 50" "Male" "Depothourders" 2
"743" "61 to 65" "Male" "Depothourders" 1
"744" "25 to 35" "Female" "Depothourders" 1
"745" "12" "Male" "Diamantklovers" 8
"746" "13" "Male" "Diamantklovers" 25
"747" "14 to 15" "Male" "Diamantklovers" 112
"748" "16 to 17" "Male" "Diamantklovers" 107
"749" "18 to 22" "Male" "Diamantklovers" 210
"750" "23 to 24" "Male" "Diamantklovers" 70
"751" "25 to 35" "Male" "Diamantklovers" 299
"752" "36 to 50" "Male" "Diamantklovers" 120
"753" "51 to 60" "Male" "Diamantklovers" 46
"754" "61 to 65" "Male" "Diamantklovers" 13
"755" "66 to 70" "Male" "Diamantklovers" 13
"756" "Older than 70" "Male" "Diamantklovers" 4
"757" "12" "Female" "Diamantklovers" 5
"758" "13" "Female" "Diamantklovers" 5
"759" "14 to 15" "Female" "Diamantklovers" 20
"760" "16 to 17" "Female" "Diamantklovers" 15
"761" "18 to 22" "Female" "Diamantklovers" 36
"762" "23 to 24" "Female" "Diamantklovers" 5
"763" "25 to 35" "Female" "Diamantklovers" 11
"764" "36 to 50" "Female" "Diamantklovers" 1
"765" "12" "Male" "Diamantslijpers (incl. verstellers) " 120
"766" "13" "Male" "Diamantslijpers (incl. verstellers) " 276
"767" "14 to 15" "Male" "Diamantslijpers (incl. verstellers) " 801
"768" "16 to 17" "Male" "Diamantslijpers (incl. verstellers) " 848
"769" "18 to 22" "Male" "Diamantslijpers (incl. verstellers) " 1689
"770" "23 to 24" "Male" "Diamantslijpers (incl. verstellers) " 658
"771" "25 to 35" "Male" "Diamantslijpers (incl. verstellers) " 1683
"772" "36 to 50" "Male" "Diamantslijpers (incl. verstellers) " 680
"773" "51 to 60" "Male" "Diamantslijpers (incl. verstellers) " 247
"774" "61 to 65" "Male" "Diamantslijpers (incl. verstellers) " 47
"775" "66 to 70" "Male" "Diamantslijpers (incl. verstellers) " 25
"776" "Older than 70" "Male" "Diamantslijpers (incl. verstellers) " 9
"777" "13" "Female" "Diamantslijpers (incl. verstellers) " 3
"778" "18 to 22" "Female" "Diamantslijpers (incl. verstellers) " 9
"779" "23 to 24" "Female" "Diamantslijpers (incl. verstellers) " 1
"780" "25 to 35" "Female" "Diamantslijpers (incl. verstellers) " 21
"781" "36 to 50" "Female" "Diamantslijpers (incl. verstellers) " 4
"782" "51 to 60" "Female" "Diamantslijpers (incl. verstellers) " 2
"783" "12" "Male" "Diamantsnijders" 11
"784" "13" "Male" "Diamantsnijders" 36
"785" "14 to 15" "Male" "Diamantsnijders" 134
"786" "16 to 17" "Male" "Diamantsnijders" 140
"787" "18 to 22" "Male" "Diamantsnijders" 272
"788" "23 to 24" "Male" "Diamantsnijders" 95
"789" "25 to 35" "Male" "Diamantsnijders" 376
"790" "36 to 50" "Male" "Diamantsnijders" 165
"791" "51 to 60" "Male" "Diamantsnijders" 62
"792" "61 to 65" "Male" "Diamantsnijders" 18
"793" "66 to 70" "Male" "Diamantsnijders" 18
"794" "Older than 70" "Male" "Diamantsnijders" 5
"795" "12" "Female" "Diamantsnijders" 12
"796" "13" "Female" "Diamantsnijders" 22
"797" "14 to 15" "Female" "Diamantsnijders" 60
"798" "16 to 17" "Female" "Diamantsnijders" 56
"799" "18 to 22" "Female" "Diamantsnijders" 75
"800" "23 to 24" "Female" "Diamantsnijders" 29
"801" "25 to 35" "Female" "Diamantsnijders" 28
"802" "36 to 50" "Female" "Diamantsnijders" 2
"803" "61 to 65" "Female" "Diamantsnijders" 1
"804" "13" "Male" "Diamantzetters" 1
"805" "14 to 15" "Male" "Diamantzetters" 3
"806" "16 to 17" "Male" "Diamantzetters" 5
"807" "18 to 22" "Male" "Diamantzetters" 4
"808" "23 to 24" "Male" "Diamantzetters" 1
"809" "25 to 35" "Male" "Diamantzetters" 11
"810" "36 to 50" "Male" "Diamantzetters" 12
"811" "51 to 60" "Male" "Diamantzetters" 3
"812" "36 to 50" "Male" "Dijkwerkers" 1
"813" "18 to 22" "Male" "Directeuren" 1
"814" "25 to 35" "Male" "Directeuren" 2
"815" "36 to 50" "Male" "Directeuren" 11
"816" "51 to 60" "Male" "Directeuren" 6
"817" "61 to 65" "Male" "Directeuren" 1
"818" "66 to 70" "Male" "Directeuren" 2
"819" "Older than 70" "Male" "Directeuren" 1
"820" "66 to 70" "Female" "Directeuren" 1
"821" "25 to 35" "Male" "Directeuren  " 3
"822" "36 to 50" "Male" "Directeuren  " 9
"823" "51 to 60" "Male" "Directeuren  " 2
"824" "61 to 65" "Male" "Directeuren  " 3
"825" "61 to 65" "Male" "Directeuren ballastmaatschappij" 1
"826" "16 to 17" "Male" "Directeuren chemische wasscherijen" 1
"827" "25 to 35" "Male" "Directeuren cultuurmaatschappij" 1
"828" "66 to 70" "Male" "Directeuren cultuurmaatschappij" 1
"829" "25 to 35" "Male" "Directeuren der Zoutexploitatie" 1
"830" "36 to 50" "Male" "Directeuren steenkolenmijnen" 1
"831" "51 to 60" "Male" "Directeuren van dagbladen" 1
"832" "25 to 35" "Male" "Directeuren van stoombootonderneming" 3
"833" "36 to 50" "Male" "Directeuren van stoombootonderneming" 3
"834" "51 to 60" "Male" "Directeuren van stoombootonderneming" 5
"835" "61 to 65" "Male" "Directeuren van stoombootonderneming" 2
"836" "Older than 70" "Male" "Directeuren van stoombootonderneming" 1
"837" "25 to 35" "Male" "Directeuren van verhuurkantoren" 1
"838" "36 to 50" "Male" "Directeuren van verhuurkantoren" 5
"839" "51 to 60" "Male" "Directeuren van verhuurkantoren" 2
"840" "23 to 24" "Female" "Directeuren van verhuurkantoren" 1
"841" "36 to 50" "Female" "Directeuren van verhuurkantoren" 29
"842" "51 to 60" "Female" "Directeuren van verhuurkantoren" 18
"843" "61 to 65" "Female" "Directeuren van verhuurkantoren" 7
"844" "66 to 70" "Female" "Directeuren van verhuurkantoren" 4
"845" "Older than 70" "Female" "Directeuren van verhuurkantoren" 2
"846" "13" "Male" "Distillateurs" 3
"847" "14 to 15" "Male" "Distillateurs" 5
"848" "16 to 17" "Male" "Distillateurs" 3
"849" "18 to 22" "Male" "Distillateurs" 5
"850" "23 to 24" "Male" "Distillateurs" 6
"851" "25 to 35" "Male" "Distillateurs" 35
"852" "36 to 50" "Male" "Distillateurs" 40
"853" "51 to 60" "Male" "Distillateurs" 29
"854" "61 to 65" "Male" "Distillateurs" 24
"855" "66 to 70" "Male" "Distillateurs" 3
"856" "Older than 70" "Male" "Distillateurs" 5
"857" "25 to 35" "Female" "Distillateurs" 1
"858" "36 to 50" "Female" "Distillateurs" 1
"859" "66 to 70" "Female" "Distillateurs" 1
"860" "16 to 17" "Male" "Doodkistenmakers" 3
"861" "18 to 22" "Male" "Doodkistenmakers" 3
"862" "23 to 24" "Male" "Doodkistenmakers" 1
"863" "25 to 35" "Male" "Doodkistenmakers" 12
"864" "36 to 50" "Male" "Doodkistenmakers" 5
"865" "51 to 60" "Male" "Doodkistenmakers" 1
"866" "61 to 65" "Male" "Doodkistenmakers" 1
"867" "Older than 70" "Male" "Doodkistenmakers" 1
"868" "51 to 60" "Female" "Doodkistenmakers" 1
"869" "61 to 65" "Female" "Doodkistenmakers" 1
"870" "36 to 50" "Female" "Doopgoedverhuurders" 3
"871" "13" "Male" "Doozenplakkers" 1
"872" "14 to 15" "Male" "Doozenplakkers" 1
"873" "16 to 17" "Male" "Doozenplakkers" 2
"874" "18 to 22" "Male" "Doozenplakkers" 1
"875" "25 to 35" "Male" "Doozenplakkers" 7
"876" "61 to 65" "Male" "Doozenplakkers" 2
"877" "16 to 17" "Female" "Doozenplakkers" 1
"878" "25 to 35" "Female" "Doozenplakkers" 1
"879" "51 to 60" "Female" "Doozenplakkers" 1
"880" "12" "Male" "Draaiers (hout-, been-, ivoor- enz)" 5
"881" "13" "Male" "Draaiers (hout-, been-, ivoor- enz)" 7
"882" "14 to 15" "Male" "Draaiers (hout-, been-, ivoor- enz)" 23
"883" "16 to 17" "Male" "Draaiers (hout-, been-, ivoor- enz)" 25
"884" "18 to 22" "Male" "Draaiers (hout-, been-, ivoor- enz)" 47
"885" "23 to 24" "Male" "Draaiers (hout-, been-, ivoor- enz)" 17
"886" "25 to 35" "Male" "Draaiers (hout-, been-, ivoor- enz)" 82
"887" "36 to 50" "Male" "Draaiers (hout-, been-, ivoor- enz)" 111
"888" "51 to 60" "Male" "Draaiers (hout-, been-, ivoor- enz)" 39
"889" "61 to 65" "Male" "Draaiers (hout-, been-, ivoor- enz)" 10
"890" "66 to 70" "Male" "Draaiers (hout-, been-, ivoor- enz)" 23
"891" "Older than 70" "Male" "Draaiers (hout-, been-, ivoor- enz)" 7
"892" "13" "Male" "Electriciens" 1
"893" "14 to 15" "Male" "Electriciens" 5
"894" "16 to 17" "Male" "Electriciens" 9
"895" "18 to 22" "Male" "Electriciens" 19
"896" "23 to 24" "Male" "Electriciens" 7
"897" "25 to 35" "Male" "Electriciens" 30
"898" "36 to 50" "Male" "Electriciens" 17
"899" "51 to 60" "Male" "Electriciens" 4
"900" "13" "Female" "Electriciens" 1
"901" "16 to 17" "Female" "Electriciens" 2
"902" "18 to 22" "Female" "Electriciens" 3
"903" "23 to 24" "Female" "Electriciens" 1
"904" "36 to 50" "Female" "Electriciens" 1
"905" "23 to 24" "Male" "Emailleerders" 1
"906" "51 to 60" "Male" "Emailleerders" 1
"907" "14 to 15" "Male" "Emballeurs" 1
"908" "23 to 24" "Male" "Emballeurs" 1
"909" "25 to 35" "Male" "Emballeurs" 4
"910" "36 to 50" "Male" "Emballeurs" 2
"911" "51 to 60" "Male" "Emballeurs" 1
"912" "14 to 15" "Female" "Emballeurs" 1
"913" "18 to 22" "Female" "Emballeurs" 1
"914" "13" "Male" "Expediteurs" 3
"915" "14 to 15" "Male" "Expediteurs" 2
"916" "16 to 17" "Male" "Expediteurs" 2
"917" "18 to 22" "Male" "Expediteurs" 30
"918" "23 to 24" "Male" "Expediteurs" 9
"919" "25 to 35" "Male" "Expediteurs" 117
"920" "36 to 50" "Male" "Expediteurs" 147
"921" "51 to 60" "Male" "Expediteurs" 63
"922" "61 to 65" "Male" "Expediteurs" 20
"923" "66 to 70" "Male" "Expediteurs" 9
"924" "Older than 70" "Male" "Expediteurs" 8
"925" "36 to 50" "Female" "Expediteurs" 3
"926" "25 to 35" "Male" "Exporthandelaars" 1
"927" "36 to 50" "Male" "Exporthandelaars" 2
"928" "18 to 22" "Male" "Ezelinnenhouders" 1
"929" "51 to 60" "Male" "Ezelinnenhouders" 1
"930" "18 to 22" "Male" "Ezelverhuurders" 1
"931" "36 to 50" "Male" "Ezelverhuurders" 1
"932" "14 to 15" "Male" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)" 2
"933" "18 to 22" "Male" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)" 3
"934" "23 to 24" "Male" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)" 3
"935" "25 to 35" "Male" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)" 6
"936" "36 to 50" "Male" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)" 5
"937" "51 to 60" "Male" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)" 1
"938" "36 to 50" "Male" "Fabricage van aluminiumwaren" 1
"939" "18 to 22" "Male" "Fabricage van asphalt" 1
"940" "25 to 35" "Male" "Fabricage van asphalt" 1
"941" "36 to 50" "Male" "Fabricage van asphalt" 5
"942" "51 to 60" "Male" "Fabricage van asphalt" 3
"943" "16 to 17" "Male" "Fabricage van azijn" 2
"944" "18 to 22" "Male" "Fabricage van azijn" 5
"945" "23 to 24" "Male" "Fabricage van azijn" 1
"946" "25 to 35" "Male" "Fabricage van azijn" 9
"947" "36 to 50" "Male" "Fabricage van azijn" 15
"948" "51 to 60" "Male" "Fabricage van azijn" 7
"949" "61 to 65" "Male" "Fabricage van azijn" 1
"950" "12" "Male" "Fabricage van basculen" 1
"951" "13" "Male" "Fabricage van basculen" 1
